179.15,-0.25,-0.01
179.15,-0.255,-0.01
179.16,-0.26,0
179.16,-0.255,-0.005
179.16,-0.265,-0.01
179.16,-0.275,0
179.17,-0.275,-0.01
179.17,-0.265,-0.01
179.17,-0.255,-0.005
179.17,-0.235,0
179.18,-0.24,-0.005
179.18,-0.255,-0.01
179.18,-0.28,-0.015
179.19,-0.305,-0.015
179.19,-0.295,-0.01
179.19,-0.285,0.015
179.19,-0.26,0
179.2,-0.265,-0.005
179.2,-0.245,-0.025
179.2,-0.245,-0.015
179.21,-0.235,-0.005
179.21,-0.24,0
179.21,-0.225,-0.005
179.21,-0.255,-0.02
179.22,-0.27,-0.03
179.22,-0.275,-0.025
179.22,-0.275,-0.015
179.22,-0.265,-0.015
179.23,-0.26,-0.025
179.23,-0.26,-0.03
179.23,-0.255,-0.04
179.24,-0.255,-0.05
179.24,-0.26,-0.04
179.24,-0.26,-0.03
179.24,-0.26,-0.04
179.25,-0.27,-0.05
179.25,-0.27,-0.065
179.25,-0.27,-0.075
179.26,-0.265,-0.07
179.26,-0.25,-0.065
179.26,-0.25,-0.09
179.26,-0.265,-0.095
179.27,-0.27,-0.1
179.27,-0.29,-0.09
179.27,-0.285,-0.095
179.27,-0.27,-0.08
179.28,-0.265,-0.095
179.28,-0.265,-0.105
179.28,-0.265,-0.12
179.29,-0.27,-0.11
179.29,-0.27,-0.12
179.29,-0.265,-0.105
179.29,-0.28,-0.12
179.3,-0.275,-0.12
179.3,-0.29,-0.14
179.3,-0.295,-0.135
179.31,-0.285,-0.125
179.31,-0.28,-0.12
179.31,-0.275,-0.12
179.31,-0.28,-0.145
179.32,-0.295,-0.16
179.32,-0.295,-0.15
179.32,-0.29,-0.14
179.32,-0.275,-0.15
179.33,-0.29,-0.155
179.33,-0.285,-0.155
179.33,-0.285,-0.16
179.34,-0.305,-0.16
179.34,-0.285,-0.155
179.34,-0.29,-0.145
179.34,-0.29,-0.14
179.35,-0.29,-0.16
179.35,-0.29,-0.17
179.35,-0.3,-0.165
179.36,-0.295,-0.16
179.36,-0.29,-0.16
179.36,-0.295,-0.16
179.36,-0.285,-0.18
179.37,-0.29,-0.175
179.37,-0.295,-0.175
179.37,-0.285,-0.18
179.38,-0.28,-0.18
179.38,-0.29,-0.17
179.38,-0.275,-0.175
179.38,-0.3,-0.195
179.39,-0.305,-0.185
179.39,-0.28,-0.175
179.39,-0.285,-0.17
179.39,-0.295,-0.17
179.4,-0.295,-0.185
179.4,-0.29,-0.185
179.4,-0.285,-0.2
179.41,-0.29,-0.18
179.41,-0.29,-0.175
179.41,-0.29,-0.175
179.41,-0.28,-0.18
179.42,-0.3,-0.185
179.42,-0.295,-0.195
179.42,-0.295,-0.185
179.42,-0.295,-0.175
179.43,-0.28,-0.17
179.43,-0.285,-0.175
179.43,-0.29,-0.2
179.44,-0.3,-0.185
179.44,-0.295,-0.195
179.44,-0.295,-0.18
179.44,-0.27,-0.18
179.45,-0.295,-0.185
179.45,-0.295,-0.195
179.45,-0.3,-0.185
179.46,-0.285,-0.18
179.46,-0.27,-0.17
179.46,-0.26,-0.175
179.46,-0.27,-0.18
179.47,-0.285,-0.175
179.47,-0.275,-0.155
179.47,-0.27,-0.13
179.47,-0.25,-0.05
179.48,-0.235,0.16
179.48,-0.2,0.555
179.48,-0.18,0.79
179.49,-0.13,0.655
179.49,0.015,0.4
179.49,0.365,0.275
179.49,0.725,0.245
179.5,0.81,0.205
179.5,0.555,0.155
179.5,0.255,0.12
179.51,0.13,0.075
179.51,0.145,0
179.51,0.175,-0.11
179.51,0.185,-0.305
179.52,0.19,-0.51
179.52,0.195,-0.77
179.52,0.225,-1.015
179.52,0.24,-1.255
179.53,0.25,-1.505
179.53,0.235,-1.755
179.53,0.215,-1.99
179.54,0.18,-2.185
179.54,0.185,-2.34
179.54,0.19,-2.465
179.54,0.19,-2.575
179.55,0.165,-2.69
179.55,0.14,-2.805
179.55,0.105,-2.915
179.56,0.075,-2.995
179.56,0.02,-3.05
179.56,-0.045,-3.08
179.56,-0.125,-3.12
179.57,-0.18,-3.155
179.57,-0.23,-3.175
