Time,Channel1
14.26388889,0.09000000
14.26666667,0.41500000
14.26944444,0.74000000
14.27222222,0.83500000
14.27500000,0.58000000
14.27777778,0.29000000
14.28055556,0.17000000
14.28333333,0.15000000
14.28611111,0.17500000
14.28888889,0.16500000
14.29166667,0.16500000
14.29444444,0.17500000
14.29722222,0.18500000
14.30000000,0.22000000
14.30277778,0.22000000
14.30555556,0.21500000
14.30833333,0.21500000
14.31111111,0.22000000
14.31388889,0.21500000
14.31666667,0.21000000
14.31944444,0.19500000
14.32222222,0.18000000
14.32500000,0.18000000
14.32777778,0.17500000
14.33055556,0.16500000
14.33333333,0.15500000
14.33611111,0.12000000
14.33888889,0.08000000
14.34166667,0.03000000
14.34444444,-0.02500000
14.34722222,-0.10000000
14.35000000,-0.15500000
14.35277778,-0.22000000
14.35555556,-0.27500000
14.35833333,-0.34000000
14.36111111,-0.43000000
14.36388889,-0.51500000
14.36666667,-0.56500000
14.36944444,-0.59000000
14.37222222,-0.58500000
14.37500000,-0.56000000
14.37777778,-0.53000000
14.38055556,-0.51500000
14.38333333,-0.52000000
14.38611111,-0.55000000
14.38888889,-0.56000000
14.39166667,-0.57000000
14.39444444,-0.56500000
14.39722222,-0.54000000
14.40000000,-0.51500000
14.40277778,-0.48500000
14.40555556,-0.46000000
14.40833333,-0.46500000
14.41111111,-0.42500000
14.41388889,-0.41000000
14.41666667,-0.41500000
14.41944444,-0.40500000
14.42222222,-0.40500000
14.42500000,-0.40500000
14.42777778,-0.40500000
14.43055556,-0.40000000
14.43333333,-0.41500000
14.43611111,-0.43500000
14.43888889,-0.44500000
14.44166667,-0.43000000
14.44444444,-0.41000000
14.44722222,-0.39000000
14.45000000,-0.39000000
14.45277778,-0.38500000
14.45555556,-0.39000000
14.45833333,-0.38500000
14.46111111,-0.37000000
14.46388889,-0.36000000
14.46666667,-0.36500000
14.46944444,-0.37500000
14.47222222,-0.38000000
14.47500000,-0.38500000
14.47777778,-0.36000000
14.48055556,-0.37000000
14.48333333,-0.37500000
14.48611111,-0.39000000
14.48888889,-0.39000000
